,Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
14,14,Maruti Wagon R LXI Minor,2009.0,180000.0,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0
15,15,Mahindra KUV 100 mFALCON G80 K8 5str,2016.0,400000.0,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0
16,16,Maruti Ertiga SHVS VDI,2016.0,778000.0,70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0
17,17,Hyundai i20 1.4 CRDi Asta,2012.0,500000.0,53000.0,,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0
18,18,Maruti Alto LX,2002.0,150000.0,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
19,19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016.0,680000.0,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
20,20,Mahindra Verito 1.5 D4 BSIII,2011.0,174000.0,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0
21,21,Honda WR-V i-DTEC VX,2017.0,950000.0,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0
22,22,Maruti Swift Dzire ZDI,2015.0,591666.6666666666,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
23,23,Maruti SX4 ZDI,2012.0,600000.0,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0
24,24,Tata Tigor 2017-2020 XZ,2018.0,500000.0,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0
25,25,Maruti Baleno Delta 1.2,2016.0,575000.0,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
26,26,Maruti Alto 800 LXI,2017.0,275000.0,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0
27,27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,300000.0,70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0
28,28,Maruti Wagon R LXI Minor,2009.0,220000.0,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0
29,29,Maruti Omni E MPI STD BS IV,2018.0,254999.0,25000.0,Petrol,Individual,Manual,First Owner,16.8,796.0,,8.0
30,30,Maruti Vitara Brezza LDi Option,2017.0,670000.0,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
31,31,Fiat Palio 1.2 ELX,2003.0,70000.0,50000.0,Petrol,Individual,Manual,Second Owner,,,,
32,32,Maruti Omni 8 Seater BSIV,2012.0,150000.0,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0
33,33,Hyundai i20 1.2 Asta Dual Tone,2018.0,730000.0,2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0
34,34,Maruti Vitara Brezza LDi,2017.0,650000.0,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
35,35,Maruti Alto 800 CNG LXI Optional,2019.0,330000.0,10000.0,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0
36,36,Maruti Alto K10 VXI Airbag,2019.0,366000.0,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0
37,37,Hyundai Verna VTVT 1.6 SX Option,2019.0,1149000.0,5000.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,,5.0
38,38,Datsun GO D,2016.0,150000.0,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0
39,39,Tata Safari DICOR 2.2 LX 4x2,2011.0,425000.0,60000.0,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0
40,40,Maruti 800 Std,2012.0,150000.0,76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0
41,41,Jeep Compass 1.4 Limited Plus BSIV,2019.0,2100000.0,5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0
42,42,Honda City i VTEC VX,2018.0,925000.0,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0
43,43,Honda City V MT,2013.0,425000.0,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0
44,44,Maruti Swift Dzire VXi AT,2018.0,675000.0,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0
45,45,Maruti Vitara Brezza VDi,2018.0,819999.0,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
46,46,Maruti Alto K10 VXI,2018.0,390000.0,10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0
47,47,Toyota Fortuner 4x4 MT,2014.0,1500000.0,77000.0,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0
48,48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013.0,700000.0,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0
49,49,Mercedes-Benz B Class B180,2014.0,1450000.0,27800.0,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0
50,50,Honda Amaze S Diesel,2015.0,425000.0,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0
51,51,Mitsubishi Pajero Sport 4X4,2013.0,1090000.0,151000.0,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0
52,52,Honda City i DTEC S,2015.0,600000.0,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0
53,53,Maruti Ciaz Zeta,2018.0,850000.0,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0
54,54,Honda Jazz VX Diesel,2015.0,525000.0,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,,5.0
55,55,Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1650000.0,127700.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0
56,56,Toyota Innova 2.5 G (Diesel) 7 Seater,2016.0,950000.0,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0
57,57,Audi A6 2.0 TDI Technology,2013.0,1750000.0,33900.0,Diesel,Dealer,,Second Owner,17.68,1968.0,174.33,5.0
58,58,Toyota Corolla Altis 1.8 VL CVT,2018.0,1590000.0,25000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0
59,59,Audi A6 2.0 TDI  Design Edition,2013.0,1689999.0,50000.0,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0
60,60,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesel,Dealer,Automatic,,14.84,2143.0,170.0,5.0
61,61,Tata Manza ELAN Quadrajet BS IV,2011.0,265000.0,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0
62,62,Hyundai i10 Magna,2011.0,190000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0
63,63,Hyundai i20 Asta 1.4 CRDi,2013.0,425000.0,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0
64,64,Maruti Swift Dzire ZDI,2015.0,591666.6666666666,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0
65,65,Ford Figo 1.2P Titanium MT,2017.0,600000.0,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0
66,66,Maruti Baleno Delta 1.2,2019.0,650000.0,30000.0,Petrol,,Manual,First Owner,21.4,1197.0,83.1,5.0
67,67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016.0,540000.0,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0
68,68,Honda City i DTEC VX,2015.0,630000.0,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0
69,69,Maruti Wagon R AMT VXI,2018.0,448000.0,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0
70,70,Volkswagen Ameo 1.5 TDI Comfortline,2017.0,500000.0,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0
71,71,Maruti Vitara Brezza VDi,2016.0,745000.0,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
72,72,Maruti Vitara Brezza ZDi Plus AMT,2019.0,1025000.0,9850.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0
73,73,Hyundai i10 Magna,2011.0,235000.0,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
74,74,Maruti Swift VDI Deca,2016.0,630000.0,70000.0,Diesel,Individual,Manual,First Owner,25.2,,74.0,5.0
75,75,Toyota Fortuner 4x4 MT,2015.0,1700000.0,78000.0,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0
76,76,Maruti Swift Star VDI,2013.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,,5.0
77,77,Maruti Ertiga ZXI,2012.0,450000.0,120000.0,Petrol,Individual,,Second Owner,16.02,1373.0,93.7,7.0
78,78,Tata Indica DLS,2003.0,50000.0,70000.0,Diesel,Individual,Manual,First Owner,,,,
79,79,Volkswagen Vento Diesel Highline,2013.0,450000.0,170000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0
80,80,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016.0,1200000.0,140000.0,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0
81,81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015.0,610000.0,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0
82,82,BMW X1 sDrive20i xLine,2016.0,2500000.0,30000.0,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0
83,83,Maruti Celerio ZXI MT BSIV,2017.0,484999.0,10000.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0
84,84,Datsun GO A Petrol,2016.0,275000.0,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0
85,85,Maruti Alto 800 VXI BSIV,2016.0,315000.0,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0
86,86,Maruti Alto 800 LXI BSIV,2016.0,275000.0,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0
87,87,Maruti Swift VDI BSIV W ABS,2015.0,475000.0,78000.0,Diesel,Dealer,Manual,First Owner,,,,
88,88,Hyundai i10 Era 1.1,2012.0,290000.0,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0
89,89,Maruti Omni 8 Seater BSIV,2017.0,280000.0,32000.0,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0
90,90,Maruti Wagon R LXI LPG BSIV,2010.0,225000.0,44000.0,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0
91,91,Volkswagen Polo 1.2 MPI Comfortline,2015.0,455000.0,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0
92,92,Hyundai i10 Magna 1.1L,2015.0,351000.0,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0
93,93,Volkswagen Vento Petrol Highline,2012.0,535000.0,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0
94,94,Maruti Zen Estilo LXI BSIII,2009.0,175000.0,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0
95,95,Hyundai i20 Asta Optional with Sunroof 1.2,2013.0,525000.0,61500.0,Petrol,Dealer,Manual,First Owner,,1197.0,82.85,5.0
96,96,Maruti Swift Dzire LDI,2016.0,600000.0,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
97,97,Hyundai Xcent 1.2 Kappa SX Option AT,2016.0,565000.0,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0
98,98,Maruti Alto LX BSIII,2008.0,120000.0,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0
99,99,Hyundai i20 1.4 Asta Option,2017.0,725000.0,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
100,100,Maruti Wagon R VXI,2009.0,185000.0,77000.0,,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0
101,101,Tata Manza Aura (ABS) Quadrajet,2010.0,200000.0,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0
102,102,Maruti Swift VXI,2019.0,615000.0,10000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0
103,103,Maruti Eeco 7 Seater Standard BSIV,2016.0,270000.0,100000.0,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0
104,104,Maruti Baleno Zeta 1.2,2018.0,610000.0,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
105,105,Mahindra Scorpio VLX AT AIRBAG BSIV,2014.0,625000.0,70000.0,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0
106,106,Ford Freestyle Titanium Petrol BSIV,2020.0,400000.0,5000.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0
107,107,Hyundai Verna VTVT 1.6 SX,2017.0,866000.0,37800.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0
108,108,Volkswagen Passat 1.8 TSI MT,2010.0,700000.0,114000.0,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0
109,109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010.0,300000.0,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0
110,110,Mahindra XUV500 W11 Option AWD,2019.0,1700000.0,32000.0,Diesel,Individual,,First Owner,15.1,2179.0,155.0,7.0
111,111,Tata Indigo CS LS (TDI) BS-III,2016.0,375000.0,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0
112,112,Hyundai Verna 1.6 SX,2013.0,522000.0,150000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0
113,113,Hyundai i20 Magna 1.4 CRDi (Diesel),2013.0,451999.0,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0
114,114,Toyota Corolla Altis G,2009.0,300000.0,100000.0,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0
115,115,Maruti Celerio VXI,2020.0,475000.0,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0
116,116,Maruti Vitara Brezza ZDi Plus Dual Tone,2016.0,780000.0,60000.0,Diesel,,Manual,First Owner,24.3,1248.0,88.5,5.0
117,117,Maruti Swift Dzire VXI,2017.0,595000.0,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
118,118,Maruti Wagon R VXI BS IV,2017.0,440000.0,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
119,119,Maruti Swift VDI BSIV,2010.0,300000.0,120000.0,Diesel,Individual,Manual,Second Owner,,,,
120,120,Nissan Terrano XL 85 PS,2014.0,400000.0,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0
121,121,Hyundai Creta 1.6 CRDi SX,2016.0,1140000.0,50000.0,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0
122,122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,850000.0,76139.0,Diesel,Individual,Manual,,23.0,1498.0,98.96,5.0
123,123,Maruti Swift Dzire VDi,2012.0,370000.0,175000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0
124,124,Renault KWID 1.0,2018.0,350000.0,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0
125,125,Maruti Celerio VXI,2015.0,360000.0,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0
126,126,Maruti Alto LXi,2008.0,105000.0,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0
127,127,Maruti Ertiga VDI,2013.0,625000.0,90000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0
128,128,Hyundai Santro Xing GLS,2009.0,135000.0,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0
129,129,Maruti Ertiga VDI,2015.0,700000.0,110000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0
130,130,Honda Amaze S i-VTEC,2019.0,690000.0,1303.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0
131,131,Audi Q5 35TDI Premium Plus,2018.0,3975000.0,31800.0,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0
132,132,Lexus ES 300h,2019.0,5150000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0
133,133,Jaguar XF 2.0 Diesel Portfolio,2017.0,3200000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0
134,134,Jeep Wrangler 2016-2019 3.6 4X4,2017.0,4100000.0,17000.0,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0
135,135,Land Rover Discovery Sport TD4 SE,2019.0,4500000.0,21000.0,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0
136,136,Mercedes-Benz S-Class S 350 CDI,2017.0,6000000.0,37000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0
137,137,BMW 5 Series 520d Sport Line,2018.0,3790000.0,29500.0,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0
138,138,BMW X1 sDrive 20D xLine,2017.0,2150000.0,27000.0,Diesel,Dealer,Automatic,First Owner,,,,
139,139,BMW X4 M Sport X xDrive20d,2019.0,5800000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0
140,140,Skoda Superb LK 1.8 TSI AT,2018.0,1864999.0,50000.0,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0
141,141,Mercedes-Benz E-Class E250 Edition E,2016.0,2700000.0,35000.0,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0
142,142,MG Hector Sharp AT BSIV,2019.0,1750000.0,19000.0,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0
143,143,Honda City i-VTEC CVT VX,2017.0,795000.0,41000.0,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0
144,144,Toyota Corolla Altis 1.8 G CVT,2013.0,625000.0,39000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0
145,145,Volvo XC40 D4 R-Design,2018.0,3400000.0,22000.0,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0
146,146,Audi Q7 35 TDI Quattro Premium,2015.0,2650000.0,53000.0,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0
147,147,Maruti Ciaz ZDi,2015.0,535000.0,40000.0,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0
148,148,Mercedes-Benz S-Class S 350 CDI,2017.0,5850000.0,47000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0
149,149,BMW 5 Series 523i,2010.0,975000.0,72200.0,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0
150,150,Hyundai Elantra S,2016.0,805000.0,49900.0,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0
151,151,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,2625000.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0
152,152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018.0,811000.0,11000.0,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0
153,153,Volkswagen Vento Petrol Highline,2011.0,375000.0,49000.0,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0
154,154,Hyundai Elantra SX,2012.0,550000.0,95000.0,Petrol,,Manual,First Owner,16.3,1797.0,147.5,5.0
155,155,Skoda Rapid 1.6 MPI AT Elegance,2016.0,645000.0,11000.0,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0
156,156,Mercedes-Benz CLA 200 CGI Sport,2018.0,2550000.0,18000.0,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0
157,157,Maruti Ertiga ZXI,2014.0,599000.0,46100.0,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0
158,158,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017.0,2700000.0,16000.0,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0
159,159,Honda City V AT,2017.0,875000.0,18000.0,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,,5.0
160,160,Toyota Glanza V CVT,2019.0,894999.0,9654.0,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0
161,161,Maruti Alto K10 VXI,2011.0,175000.0,11000.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0
162,162,Maruti Swift VXI,2012.0,340000.0,24300.0,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0
163,163,Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1525000.0,42163.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0
164,164,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018.0,1025000.0,8000.0,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0
165,165,BMW 3 Series 320d Luxury Line,2016.0,2150000.0,30000.0,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0
166,166,Toyota Camry 2.5 Hybrid,2016.0,1900000.0,41000.0,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0
167,167,BMW 5 Series 520d Luxury Line,2016.0,2900000.0,12000.0,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0
168,168,Toyota Camry W4 (AT),2009.0,450000.0,71000.0,Petrol,Dealer,Automatic,First Owner,12.1,,164.7,5.0
169,169,Maruti Ertiga BSIV ZXI Plus,2016.0,850000.0,20000.0,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0
170,170,Volvo XC90 T8 Excellence BSIV,2017.0,10000000.0,30000.0,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0
171,171,Volkswagen Vento Diesel Highline,2011.0,300000.0,100000.0,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0
172,172,Ford Figo Aspire 1.2 Ti-VCT Trend,2018.0,575000.0,9500.0,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0
173,173,Ford Figo Diesel LXI,2011.0,160000.0,120000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0
174,174,Maruti Swift VXI Optional,2015.0,515000.0,36600.0,Petrol,Individual,,First Owner,20.4,1197.0,81.8,5.0
175,175,Maruti Wagon R AMT VXI,2015.0,390000.0,50000.0,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0
176,176,Hyundai i20 Magna 1.2,2016.0,550000.0,14000.0,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0
177,177,Maruti 800 Std,1999.0,40000.0,40000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0
178,178,Maruti Ritz VDi,2010.0,220000.0,120000.0,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0
179,179,Hyundai Grand i10 Magna,2015.0,425000.0,70000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0
180,180,Volkswagen Ameo 1.0 MPI Trendline,2019.0,480000.0,13000.0,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0
181,181,Hyundai Grand i10 Sportz,2014.0,400000.0,60000.0,,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0
182,182,Maruti Swift Dzire VXI,2014.0,487000.0,35000.0,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0
183,183,Hyundai Xcent 1.2 Kappa S,2016.0,386000.0,44000.0,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0
184,184,Honda City 1.5 EXI,2005.0,100000.0,120000.0,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0
185,185,Toyota Corolla Altis Diesel D4DG,2010.0,300000.0,60000.0,,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0
186,186,Daewoo Matiz SD,2000.0,100000.0,60000.0,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0
187,187,Toyota Fortuner 4x2 Manual,2014.0,1750000.0,30000.0,Diesel,Individual,Manual,Second Owner,13.0,2982.0,,7.0
188,188,Mahindra KUV 100 mFALCON G80 K8,2016.0,450000.0,15000.0,Petrol,Individual,,Second Owner,18.15,1198.0,82.0,6.0
189,189,Tata Zest Quadrajet 1.3 75PS XM,2017.0,490000.0,90000.0,,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0
190,190,Honda City 1.5 S MT,2009.0,345000.0,47000.0,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0
191,191,Maruti Zen LXI,2005.0,85000.0,90000.0,,Individual,Manual,First Owner,17.3,993.0,60.0,5.0
192,192,Maruti Wagon R VXI BS IV with ABS,2010.0,215000.0,,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0
